
running 1 test
105 0.014693298 0.001566976 0.000156329
3 0.000002960 0.000000877 0.000000610
65 0.002565940 0.000588560 0.000072007
18 0.000109897 0.000053008 0.000009046
151 0.046355625 0.004040860 0.000526174
176 0.061992810 0.005841152 0.000792220
211 0.109492788 0.010049660 0.001937606
134 0.026440507 0.004257605 0.000433174
133 0.023145592 0.002924017 0.000350965
132 0.024625824 0.002790233 0.000353812
182 0.068794059 0.007989040 0.001190185
15 0.000044220 0.000022614 0.000005255
149 0.037935152 0.003666907 0.000470669
140 0.030619594 0.004667723 0.000622594
173 0.060008249 0.006881383 0.001100634
96 0.009680450 0.001456406 0.000213088
180 0.064337949 0.008210990 0.001000480
175 0.060096404 0.007491476 0.000994372
20 0.000091847 0.000041054 0.000006540
221 0.146556734 0.010521762 0.002568412
12 0.000036948 0.000020568 0.000004764
107 0.014451186 0.002642098 0.000283383
59 0.002596093 0.000445249 0.000037219
33 0.000362084 0.000120066 0.000011601
26 0.000187677 0.000073587 0.000009050
182 0.070833940 0.007942762 0.000915549
25 0.000169771 0.000067699 0.000009853
158 0.047554878 0.004284194 0.000617880
35 0.000429093 0.000137720 0.000012599
231 0.146418591 0.012450671 0.002432325
241 0.150179739 0.013461764 0.002396316
72 0.003544496 0.000701065 0.000073171
167 0.058808813 0.004778822 0.000704326
20 0.000092572 0.000041844 0.000007204
28 0.000228277 0.000083945 0.000008714
12 0.000023566 0.000013218 0.000003103
194 0.090319333 0.009838471 0.001632794
99 0.013213895 0.001533907 0.000194225
61 0.002916999 0.000806211 0.000058633
67 0.004381369 0.000897090 0.000077947
42 0.000846494 0.000216161 0.000019844
171 0.068677474 0.007651885 0.001660784
37 0.001113922 0.000332791 0.000025303
230 0.168193415 0.012726249 0.002528726
127 0.026574271 0.004062381 0.000462805
228 0.152789438 0.012403792 0.001851051
91 0.009695197 0.001848277 0.000177745
195 0.084523562 0.006734333 0.001100624
50 0.001883980 0.000473726 0.000039759
129 0.024610297 0.003236314 0.000349125
7 0.000007968 0.000004380 0.000001631
56 0.001846351 0.000407443 0.000043315
212 0.118761866 0.009581387 0.001491854
177 0.059515311 0.005657130 0.000907866
172 0.064668771 0.005747288 0.001123228
206 0.106024058 0.007781146 0.001286440
224 0.154231669 0.014264284 0.002294329
208 0.121938528 0.010603109 0.001953526
246 0.170548611 0.012288650 0.002842134
139 0.027194423 0.003175358 0.000454494
38 0.001033988 0.000185101 0.000017197
167 0.050614890 0.005174079 0.000940797
123 0.018737826 0.002342808 0.000257900
30 0.000280635 0.000100264 0.000011434
198 0.087419551 0.010396942 0.001559245
14 0.000068399 0.000033538 0.000006735
243 0.161624869 0.013456388 0.002999908
149 0.042838144 0.004677772 0.000488151
90 0.007216326 0.001561364 0.000193431
50 0.001906036 0.000450348 0.000036397
240 0.157988134 0.013653698 0.002318884
153 0.038074000 0.003956638 0.000645698
48 0.001070801 0.000271407 0.000022385
250 0.179710693 0.012876653 0.003182943
148 0.038178193 0.005449910 0.000650130
163 0.046304669 0.004966831 0.000740343
172 0.057739564 0.006291779 0.000927998
108 0.013776155 0.002645763 0.000310190
73 0.005273522 0.000722472 0.000073457
167 0.060216502 0.005763121 0.000799916
211 0.105200685 0.008348406 0.001378141
222 0.130853377 0.009694543 0.002379808
59 0.002559477 0.000459822 0.000037677
123 0.020434616 0.002395472 0.000244485
41 0.000828408 0.000236977 0.000017298
247 0.173293375 0.011868624 0.002262677
213 0.128588260 0.010205943 0.001469244
55 0.002643555 0.000635740 0.000068612
